"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.225783765856149,0.225783765856149,0.225783765856149,0.225553508175711,0.226480173020862,0.225783765856149,0.225783765856149,0.226480173020862,0.225783765856149,0.225783765856149
"2",0.252528373577229,0.252801461816527,0.252801461816527,0.252830201168309,0.252830201168309,0.252801461816527,0.252801461816527,0.252801461816527,0.252801461816527,0.252801461816527
"3",0.278885011604045,0.280334530294368,0.278908767748454,0.282516215002397,0.280326478877205,0.280334530294368,0.278908767748454,0.280334530294368,0.278908767748454,0.280334530294368
"4",0.308182334237349,0.306970033824829,0.308182334237349,0.308182334237349,0.307574616409834,0.305949411523134,0.306970033824829,0.306153039488704,0.306970033824829,0.306970033824829
"5",0.333178841858824,0.335587497128737,0.333178841858824,0.335854171412995,0.334902479433804,0.337674598345756,0.333178841858824,0.334821267941788,0.333178841858824,0.334528486549537
"6",0.364828411524498,0.364841500953929,0.364841500953929,0.364841500953929,0.360053203749136,0.361672793609307,0.361976840237823,0.364841500953929,0.364841500953929,0.359123517530625
"7",0.387686107627994,0.387686107627994,0.387686107627994,0.387850324479289,0.385316793576408,0.387686107627994,0.387686107627994,0.387686107627994,0.387686107627994,0.387686107627994
"8",0.410530714302059,0.410530714302059,0.410530714302059,0.410711352838483,0.410711352838483,0.410530714302059,0.410530714302059,0.410530714302059,0.410530714302059,0.410530714302059
"9",0.433375320976123,0.433375320976123,0.433375320976123,0.433375320976123,0.433375320976123,0.433776226771883,0.433375320976123,0.433375320976123,0.433375320976123,0.433375320976123
"10",0.456219927650188,0.45656825883679,0.456219927650188,0.456219927650188,0.456219927650188,0.45656825883679,0.456219927650188,0.45656825883679,0.456219927650188,0.456219927650188
"11",0.480426527246721,0.479739867257094,0.48043391873885,0.481061105291984,0.48043391873885,0.479360290901697,0.479064534324252,0.480822768365467,0.480211292178888,0.481061105291984
"12",0.502924364016864,0.502474351029139,0.502851265969922,0.50343928353196,0.5026099449793,0.5026099449793,0.502693755015615,0.503183922539263,0.502693755015615,0.50343928353196
"13",0.525799260868452,0.526484730527126,0.525268613200994,0.52590276595677,0.52590276595677,0.526150919221242,0.525176217852341,0.525545076713058,0.525176217852341,0.52590276595677
"14",0.548125578053435,0.54840019291058,0.547685960432066,0.549190461534151,0.54792003755715,0.54840019291058,0.548000028803532,0.54840019291058,0.547658680689068,0.549341077468523
"15",0.570715017471759,0.570315655294035,0.570103307663138,0.570829389161279,0.570988864856496,0.570315655294035,0.570255111453305,0.570617304582132,0.570103307663138,0.570988864856496
"16",0.59275505681382,0.592231117677489,0.59254763679447,0.592468316788406,0.592468316788406,0.592468316788406,0.592493139240464,0.592244449732641,0.59270364856983,0.592468316788406
